query,segment,topic,topic_group,language,intent,relevant,first_seen,days_since_first_seen,days_with_impressions,last7_impressions,prev7_impressions,last14_impressions,prev14_impressions,impressions_change_14_pct,last28_impressions,impressions_90d,last7_clicks,last14_clicks,last28_clicks,clicks_90d,ctr_last28,last14_position,prev14_position,position_change_14,position_bucket_14d,striking_distance,visible_no_clicks,emerging_score,top_page_28d
jaji piti bot,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-05,9,8,14,6,20,0,,20,20,0,0,0,0,0.0,5.75,,,4-10,True,True,7.93,https://gptbot.uz/ru/gpt-chat/
chatgpt skachat qilish,new_14d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-09-03,11,10,30,7,37,0,,37,37,0,0,0,0,0.0,8.7,,,4-10,True,True,7.9,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt bepul versiyasi,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-01,13,11,8,10,18,0,,18,18,1,2,2,2,0.1111,7.83,,,4-10,False,False,7.67,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
чатгпт онлайн,new_14d,chatgpt_online,chatgpt_product,ru,transactional,True,2026-09-03,11,5,14,4,18,0,,18,18,0,0,0,0,0.0,5.89,,,4-10,False,False,7.67,https://gptbot.uz/ru/gpt-chat/
bepul chatgpt,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-04,10,6,12,2,14,0,,14,14,1,1,1,1,0.0714,6.64,,,4-10,False,False,7.06,https://gptbot.uz/uz/gpt-uzbek-tilida/
чачи пити узбекча,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-02,12,8,7,7,14,0,,14,14,0,0,0,0,0.0,8.86,,,4-10,False,False,7.06,https://gptbot.uz/ru/gpt-chat/
chachi piti uzb,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-10,4,4,13,0,13,0,,13,13,0,0,0,0,0.0,7.38,,,4-10,False,False,6.88,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt oʻrnatish,new_14d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-09-02,12,5,2,19,21,0,,21,21,0,0,0,0,0.0,8.57,,,4-10,True,True,6.71,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt saytiga kirish,new_14d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-09-09,5,4,10,0,10,0,,10,10,0,0,0,0,0.0,5.5,,,4-10,False,False,5.21,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt oʻzbekcha tarjimon,new_14d,chatgpt_translate,chatgpt_product,uz,informational,True,2026-09-03,11,3,0,25,25,0,,25,25,0,0,0,0,0.0,6.04,,,4-10,True,True,3.4,https://gptbot.uz/uz/gpt-uzbek-tilida/
